source,target,weight
M_0113,F_1001,0.333
M_0113,M_0960,0.143
M_0113,F_0888,0.333
M_0113,M_5063,0.333
M_0113,M_0496,0.143
M_0113,M_5062,0.6
M_0113,F_0272,0.333
M_0113,F_0362,0.143
M_0113,F_1300,0.143
M_0113,F_0337,0.143
M_0113,M_0106,0.143
M_0113,M_0759,0.333
M_0113,F_0966,0.333
M_0113,F_0574,0.6
M_0113,M_0410,0.333
M_0113,F_0595,0.333
M_0113,M_0866,0.143
M_0113,M_0334,0.333
M_0113,M_0557,0.143
M_0113,M_0509,0.143
M_0113,F_1458,0.143
F_1001,M_0960,0.143
F_1001,F_0888,0.6
F_1001,M_5063,0.6
F_1001,M_0496,0.143
F_1001,M_5062,0.333
F_1001,M_1299,0.143
F_1001,F_0272,0.143
F_1001,F_0362,0.6
F_1001,F_1300,0.6
F_1001,F_0337,0.333
F_1001,M_0106,0.333
F_1001,M_0759,0.143
F_1001,F_0966,0.143
F_1001,F_0574,0.333
F_1001,M_0410,0.143
F_1001,F_0595,0.6
F_1001,M_0866,0.6
F_1001,M_0334,0.333
F_1001,M_0557,0.143
F_1001,M_0509,0.143
F_1001,F_0981,0.333
F_1001,F_1458,0.333
M_0960,F_0888,0.333
M_0960,M_5062,0.143
M_0960,M_1299,0.333
M_0960,F_0272,0.143
M_0960,F_0362,0.143
M_0960,F_1300,0.143
M_0960,M_0106,0.333
M_0960,M_0759,0.143
M_0960,F_0966,0.333
M_0960,F_0574,0.143
M_0960,M_0410,0.6
M_0960,F_0595,0.143
M_0960,M_0866,0.333
M_0960,M_0334,0.333
M_0960,M_0557,0.143
M_0960,M_0509,0.333
M_0960,F_0981,0.333
M_0960,F_1458,0.6
F_0888,M_5063,0.333
F_0888,M_0496,0.143
F_0888,M_5062,0.333
F_0888,M_1299,0.333
F_0888,F_0272,0.143
F_0888,F_0362,0.333
F_0888,F_1300,0.333
F_0888,F_0337,0.143
F_0888,M_0106,0.333
F_0888,M_0759,0.143
F_0888,F_0966,0.143
F_0888,F_0574,0.333
F_0888,M_0410,0.333
F_0888,F_0595,0.333
F_0888,M_0866,0.333
F_0888,M_0334,0.6
F_0888,M_0509,0.143
F_0888,F_0981,0.143
F_0888,F_1458,0.143
M_5063,M_0496,0.143
M_5063,M_5062,0.333
M_5063,M_1299,0.143
M_5063,F_0272,0.143
M_5063,F_0362,0.333
M_5063,F_1300,0.6
M_5063,F_0337,0.333
M_5063,M_0106,0.143
M_5063,M_0759,0.143
M_5063,F_0574,0.333
M_5063,F_0595,0.333
M_5063,M_0866,0.333
M_5063,M_0334,0.333
M_5063,M_0557,0.333
M_5063,M_0509,0.333
M_5063,F_0981,0.333
M_5063,F_1458,0.143
M_0496,M_5062,0.143
M_0496,M_1299,0.333
M_0496,F_0272,0.333
M_0496,F_0362,0.143
M_0496,F_1300,0.143
M_0496,F_0337,0.333
M_0496,M_0106,0.333
M_0496,M_0759,0.143
M_0496,F_0966,0.143
M_0496,F_0574,0.333
M_0496,M_0410,0.143
M_0496,F_0595,0.333
M_0496,M_0866,0.143
M_0496,M_0334,0.143
M_0496,M_0557,0.143
M_0496,M_0509,0.143
M_0496,F_0981,0.143
M_5062,M_1299,0.143
M_5062,F_0272,0.6
M_5062,F_0362,0.143
M_5062,F_1300,0.143
M_5062,M_0106,0.333
M_5062,M_0759,0.6
M_5062,F_0966,0.143
M_5062,F_0574,0.333
M_5062,M_0410,0.143
M_5062,F_0595,0.143
M_5062,M_0866,0.143
M_5062,M_0334,0.333
M_5062,M_0557,0.333
M_5062,M_0509,0.143
M_5062,F_1458,0.143
M_1299,F_0272,0.143
M_1299,F_0362,0.143
M_1299,F_1300,0.143
M_1299,F_0337,0.143
M_1299,M_0106,0.6
M_1299,M_0759,0.143
M_1299,F_0966,0.143
M_1299,F_0574,0.143
M_1299,M_0410,0.333
M_1299,F_0595,0.143
M_1299,M_0866,0.333
M_1299,M_0334,0.333
M_1299,M_0557,0.333
M_1299,M_0509,0.333
M_1299,F_0981,0.333
M_1299,F_1458,0.143
F_0272,F_0362,0.143
F_0272,M_0106,0.333
F_0272,M_0759,0.6
F_0272,F_0966,0.143
F_0272,F_0574,0.333
F_0272,M_0410,0.143
F_0272,F_0595,0.143
F_0272,M_0866,0.143
F_0272,M_0334,0.333
F_0272,M_0557,0.333
F_0272,M_0509,0.143
F_0272,F_1458,0.143
F_0362,F_1300,0.333
F_0362,F_0337,0.6
F_0362,M_0106,0.333
F_0362,M_0759,0.333
F_0362,F_0966,0.333
F_0362,F_0574,0.333
F_0362,M_0410,0.143
F_0362,F_0595,0.6
F_0362,M_0866,0.6
F_0362,M_0334,0.333
F_0362,M_0557,0.143
F_0362,M_0509,0.143
F_0362,F_0981,0.333
F_0362,F_1458,0.333
F_1300,F_0337,0.333
F_1300,M_0106,0.143
F_1300,F_0574,0.143
F_1300,F_0595,0.333
F_1300,M_0866,0.333
F_1300,M_0334,0.143
F_1300,M_0557,0.143
F_1300,M_0509,0.333
F_1300,F_0981,0.6
F_1300,F_1458,0.333
F_0337,M_0106,0.143
F_0337,M_0759,0.143
F_0337,F_0966,0.333
F_0337,F_0574,0.333
F_0337,M_0410,0.143
F_0337,F_0595,0.6
F_0337,M_0866,0.333
F_0337,M_0334,0.143
F_0337,M_0557,0.143
F_0337,M_0509,0.143
F_0337,F_0981,0.333
F_0337,F_1458,0.143
M_0106,M_0759,0.333
M_0106,F_0966,0.333
M_0106,F_0574,0.333
M_0106,M_0410,0.333
M_0106,F_0595,0.333
M_0106,M_0866,0.6
M_0106,M_0334,0.333
M_0106,M_0557,0.333
M_0106,M_0509,0.333
M_0106,F_0981,0.333
M_0106,F_1458,0.333
M_0759,F_0966,0.333
M_0759,F_0574,0.333
M_0759,M_0410,0.143
M_0759,F_0595,0.143
M_0759,M_0866,0.143
M_0759,M_0334,0.333
M_0759,M_0557,0.333
M_0759,M_0509,0.143
M_0759,F_1458,0.143
F_0966,F_0574,0.333
F_0966,M_0410,0.6
F_0966,F_0595,0.333
F_0966,M_0866,0.333
F_0966,M_0334,0.143
F_0966,M_0557,0.143
F_0966,M_0509,0.143
F_0966,F_0981,0.143
F_0966,F_1458,0.333
F_0574,M_0410,0.333
F_0574,F_0595,0.6
F_0574,M_0866,0.333
F_0574,M_0334,0.6
F_0574,M_0557,0.143
F_0574,M_0509,0.333
F_0574,F_0981,0.143
F_0574,F_1458,0.143
M_0410,F_0595,0.333
M_0410,M_0866,0.333
M_0410,M_0334,0.333
M_0410,M_0557,0.143
M_0410,M_0509,0.143
M_0410,F_0981,0.143
M_0410,F_1458,0.333
F_0595,M_0866,0.6
F_0595,M_0334,0.333
F_0595,M_0557,0.143
F_0595,M_0509,0.143
F_0595,F_0981,0.333
F_0595,F_1458,0.333
M_0866,M_0334,0.333
M_0866,M_0557,0.333
M_0866,M_0509,0.333
M_0866,F_0981,0.6
M_0866,F_1458,0.6
M_0334,M_0557,0.143
M_0334,M_0509,0.333
M_0334,F_0981,0.143
M_0334,F_1458,0.143
M_0557,M_0509,0.333
M_0557,F_0981,0.333
M_0557,F_1458,0.333
M_0509,F_0981,0.6
M_0509,F_1458,0.333
F_0981,F_1458,0.6
